top - 16:33:24 up 73 days,  4:00, 12 users,  load average: 11.36, 26.46, 30.62
Tasks: 1308 total,  10 running, 1295 sleeping,   3 stopped,   0 zombie
%Cpu(s):  6.4 us,  5.0 sy,  0.0 ni, 88.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 2063849.+total, 459210.2 free,  39424.8 used, 1565214.+buff/cache
MiB Swap:   2048.0 total,     71.7 free,   1976.3 used. 1962674.+avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
2870036 robert.+  20   0   11.1g 674792 128680 R 150.0   0.0 393:32.99 pt_main_thread
2768402 robert.+  20   0   14.5g   3.6g   2.7g S 100.0   0.2   1688:03 pt_main_thread
2768713 robert.+  20   0   53.7g   4.3g   3.0g R 100.0   0.2   2895:40 pt_main_thread
2768816 robert.+  20   0   14.5g   3.8g   1.0g S 100.0   0.2   1581:52 pt_main_thread
2768817 robert.+  20   0   12.2g   1.6g 128424 R 100.0   0.1   1544:25 pt_main_thread
2870037 robert.+  20   0   11.1g 668996 128680 R 100.0   0.0 394:46.55 pt_main_thread
2768252 robert.+  20   0   56.5g   4.0g   3.0g R  94.4   0.2   2896:57 pt_main_thread
2768403 robert.+  20   0   14.5g   3.6g 809188 S  94.4   0.2   1683:15 pt_main_thread
2869949 robert.+  20   0   26.8g   2.0g 626016 S  94.4   0.1 326:36.42 pt_main_thread
2768466 robert.+  20   0   11.2g 480788 129588 R  50.0   0.0   1692:24 pt_main_thread
2884627 robert.+  20   0  470964 162600  20500 R  44.4   0.0 103:16.09 llama
2874936 robert.+  20   0   32.1g 364824  57952 S  11.1   0.0   9:43.17 node
2935491 robert.+  20   0   13068   4920   3112 R  11.1   0.0   0:00.05 top
2180950 robert.+  20   0   83.2g 973576  62980 S   5.6   0.0 844:54.73 node
2883562 robert.+  20   0 6434652 286264  81828 S   5.6   0.0   2:00.66 language_server
      1 root      20   0  169844  11928   7120 S   0.0   0.0   2:29.45 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:01.77 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_flushwq
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
